build frame, cloudFrame, eskf_obs, fov segment, laser convert, laser ds, map update, optimize, poseEstimate, predict, processMeasurement, pub cloud, state init, 
6.15181,0.846791,0.095283,0.221351,52.8479,12.6046,4.38344,33.2595,21.0639,0.117356,81.8226,0.062932,0.000327,
4.76127,0.959194,0.045262,0.041835,51.973,4.91344,4.06547,53.1396,37.3722,0.128932,98.6442,0.028,0.00041,
5.60689,1.10795,0.08042,0.19682,50.3738,5.73331,4.58479,12.263,57.9305,0.155008,30.96,0.059666,0.002475,
6.75587,0.80764,0.028685,0.025484,52.6789,7.29241,4.98362,21.3677,17.2858,0.12851,78.1467,0.018748,0.000611,
5.96736,0.651502,0.038006,0.046553,50.7738,10.3686,4.05922,44.4853,25.4807,0.136414,46.4562,0.025299,0.000364,
4.89805,0.558113,0.039584,0.039274,54.1516,5.7025,3.46825,43.5519,47.9982,0.142779,74.0625,0.024261,0.000382,
4.8803,0.735582,0.034726,0.028869,50.9901,9.46745,3.76509,14.1518,47.355,0.122648,26.8084,0.02172,0.001709,
4.78538,1.31726,0.028468,0.021595,60.2183,8.94765,3.79004,41.7383,17.9706,0.164029,31.3455,0.018982,0.00048,
5.08162,0.826669,0.134095,0.447008,46.3738,10.6847,7.07759,54.5555,49.3213,0.144835,61.3126,0.070794,0.001006,
4.9388,0.653398,0.033186,0.038031,56.9061,5.72283,3.50663,54.6163,58.1058,0.26194,45.6231,0.050945,0.002819,
4.03849,0.813162,0.039349,0.089674,51.6906,4.46389,7.19125,15.2877,61.9091,0.11314,27.4302,0.304864,0.000387,
2.70757,0.820658,0.029031,0.028814,48.7705,4.07714,4.77636,22.7984,20.0983,0.108066,28.8955,0.018829,0.000817,
2.98182,0.920951,0.032686,0.030046,51.1145,7.0995,5.51465,35.9032,28.3645,0.187778,43.012,0.02169,0.001682,
3.81537,0.648534,0.026494,0.019324,57.3688,8.80292,3.4554,42.3828,39.3825,0.139957,67.0389,0.01773,0.001653,
2.33191,0.908238,0.026004,0.022637,52.3922,6.12821,3.50256,12.4031,45.9125,0.107262,26.6873,0.01684,0.000808,
6.32812,3.65395,0.118149,0.095445,49.468,6.61562,5.48546,22.6975,17.9921,0.231831,32.3644,0.054035,0.002443,
8.18181,0.953942,0.028071,0.026584,60.1423,8.85966,4.29872,51.3109,27.0281,0.130754,54.3085,0.023507,0.000358,
2.57238,0.685454,0.036404,0.036097,57.1868,6.84842,3.43532,56.9655,54.7877,0.155474,52.8893,0.020494,0.000384,
5.03752,0.976801,0.055847,0.08985,50.9846,4.71965,3.70232,13.6815,60.7643,0.141927,24.8379,0.029873,0.000424,
5.01524,0.784181,0.028272,0.029392,49.3584,5.86506,3.91892,24.1634,17.6346,0.143874,56.4852,0.018997,0.000571,
5.38858,2.06906,0.071083,0.039555,131.749,5.80731,4.066,59.4231,28.2766,0.13636,67.0675,0.028126,0.00044,
8.04393,0.793392,0.036632,0.04475,55.8515,8.93122,4.39423,65.7025,63.8745,0.136836,66.9504,0.02219,0.000407,
1.90859,0.693601,0.0563,0.045834,59.3335,6.79994,3.34486,10.6986,69.0987,0.147475,23.6757,0.028366,0.000412,
4.46148,0.795933,0.086083,0.167901,51.1012,5.41875,6.19436,26.053,17.0738,0.130434,34.5702,0.063353,0.000343,
2.23723,1.0887,0.031031,0.032804,53.2215,8.76364,4.30879,50.8081,30.4014,0.135248,45.1919,0.022305,0.000347,
5.12439,1.64293,0.034386,0.033277,52.2111,5.729,3.70655,73.7318,54.5558,0.230493,49.1086,0.196308,0.000583,
6.0522,0.763315,0.03976,0.050799,45.7505,6.27197,4.67397,15.2598,78.4616,0.185214,27.5166,0.023212,0.003082,
3.86453,1.2406,0.045434,0.052221,46.5592,5.90662,4.55163,26.5393,19.8695,0.154042,35.9463,0.043616,0.003284,
3.40411,0.757694,0.029918,0.025347,52.4174,5.81141,5.69601,74.7781,32.2729,0.189309,58.2885,0.019793,0.00146,
4.14073,1.00826,0.053351,0.053823,66.678,6.06843,5.23424,67.7669,80.0964,0.130939,67.1511,0.03364,0.000325,
6.06814,0.687185,0.059868,0.04621,56.7534,5.6308,3.64597,10.8799,71.4654,0.113113,25.088,0.025201,0.000426,
4.55472,1.64705,0.039594,0.042905,46.3361,4.79543,3.98486,47.4006,14.9132,0.119746,34.7012,0.034261,0.00036,
6.27789,0.819559,0.047678,0.077481,58.6418,9.62359,4.5245,49.9535,52.0112,0.142781,72.6417,0.036028,0.001341,
5.71144,0.764194,0.032563,0.051237,66.313,5.91353,3.90453,70.2819,53.9157,0.183479,71.8648,0.020963,0.002157,
4.77079,0.837245,0.053875,0.050494,53.1904,8.99721,3.65739,14.2914,73.9951,0.17135,22.3208,0.024618,0.000604,
5.92684,0.944745,0.033727,0.045888,50.0633,11.0193,4.4813,25.3121,18.8241,0.11887,33.636,0.026482,0.00048,
5.48716,0.667617,0.029281,0.036411,57.8853,12.7881,7.70608,74.5047,33.0655,0.145972,61.2144,0.020542,0.001559,
4.73297,0.948717,0.043184,0.055506,59.8816,10.0434,3.56495,59.5675,78.1324,0.111624,87.7382,0.028465,0.000317,
5.70678,0.736181,0.035865,0.035037,52.4724,3.88723,5.75199,11.7127,65.3999,0.127662,25.0362,0.235313,0.00072,
4.70086,0.747323,0.098742,0.141307,52.0418,7.17953,5.49439,21.2852,17.358,0.145657,37.8434,0.069986,0.000506,
4.10502,1.05016,0.032541,0.033026,56.3345,7.76023,4.4143,35.5532,25.7395,0.138504,85.2417,0.022561,0.000391,
6.37164,0.77639,0.075044,0.171666,53.8688,10.2425,4.55187,77.8186,40.2851,0.131439,78.4469,0.064024,0.000437,
5.76385,0.872889,0.070729,0.166421,55.0731,5.42825,4.66306,17.1609,82.6574,0.121684,20.7587,0.050988,0.000453,
2.86738,1.34879,0.060607,0.027095,48.1232,7.7214,4.6356,24.3845,21.8294,0.187627,62.0451,0.021034,0.002105,
5.70944,0.78331,0.040947,0.042915,122.899,7.05367,4.00179,47.2321,28.4362,0.128265,63.7732,0.079928,0.000484,
3.42222,0.655977,0.045533,0.042534,56.9383,8.01554,4.18819,43.0795,51.4679,0.139214,80.7813,0.027759,0.000453,
3.78392,0.673566,0.042544,0.05821,58.9232,8.32042,3.99605,15.5245,47.1391,0.111816,25.7157,0.025244,0.00045,
5.35905,0.938233,0.041277,0.059331,54.3556,8.19698,4.37093,21.3612,19.9621,0.127538,40.9516,0.041006,0.000442,
8.89758,0.808294,0.068218,0.131414,50.6808,9.01981,6.00502,36.3345,27.5133,0.17905,84.1356,0.061437,0.000537,
5.9648,1.06022,0.040139,0.037826,55.1724,7.24515,4.30567,65.2852,40.6845,0.116422,73.7836,0.038937,0.000405,
6.87128,0.701021,0.041007,0.046965,57.4766,6.27565,4.0383,18.3763,69.3769,0.107014,22.8938,0.034887,0.000413,
4.68569,0.740176,0.030703,0.065031,50.4509,9.02331,5.02683,31.6497,23.4744,0.125633,30.9671,0.025539,0.000412,
6.27966,0.717337,0.06463,0.073666,56.9714,12.3785,4.09861,60.6423,35.8298,0.135806,47.9173,0.072977,0.000641,
7.14714,0.750398,0.036373,0.065876,49.7691,6.06204,3.69302,69.4779,64.4085,0.149132,90.0378,0.208786,0.00041,
4.76959,0.84812,0.040456,0.03803,48.4486,6.55383,3.82327,11.821,73.3449,0.13103,27.6583,0.024478,0.000377,
4.95977,0.871481,0.031557,0.046601,52.4645,8.86444,5.81951,30.9088,17.6934,0.137815,35.4074,0.024443,0.000518,
6.51209,0.851911,0.038522,0.039645,48.9308,7.86392,4.38899,35.9911,35.3436,0.136648,55.8436,0.025284,0.00043,
2.9163,1.02634,0.045031,0.044094,52.3594,7.92374,4.67917,73.7726,40.7203,0.141561,51.7872,0.026716,0.000502,
4.88808,0.974887,0.063551,0.168878,50.6173,5.58549,4.38254,10.4516,78.3311,0.137217,26.7478,0.045484,0.000486,
2.72891,0.833876,0.027642,0.028762,52.7652,6.30687,6.79956,23.9986,17.2963,0.147961,38.3612,0.021897,0.000318,
5.97722,0.914379,0.032259,0.0372,53.0973,7.43935,5.65583,52.1653,29.6981,0.124478,48.2653,0.024425,0.000366,
5.6762,0.767648,0.049278,0.082107,51.6323,5.83732,4.52158,91.2971,56.7752,0.132662,77.8247,0.030452,0.000526,
5.19863,0.828582,0.064203,0.132857,47.5184,6.18326,4.19859,12.0259,95.6401,0.129524,29.4852,0.051284,0.000335,
6.59852,1.05411,0.05576,0.056618,55.2672,8.15351,10.0498,28.5205,22.146,0.149192,43.3784,0.045644,0.000481,
4.82912,0.972831,0.083474,0.10943,55.6821,7.24072,4.95381,61.0407,33.5965,0.11516,72.6561,0.044734,0.000535,
2.45962,0.814253,0.036999,0.035262,54.8338,10.3029,3.76112,87.6422,64.8424,0.142024,79.1487,0.023248,0.000423,
5.28293,2.18234,0.03989,0.063551,49.1883,9.97483,4.69173,20.9933,92.4127,0.13841,25.2281,0.02794,0.000404,
6.41764,0.835211,0.071273,0.118934,58.8769,5.98008,5.76727,20.8354,26.8914,0.207909,43.3822,0.082536,0.000558,
4.63994,0.762583,0.030088,0.037174,56.5778,7.48523,4.41985,72.4589,25.2992,0.117108,44.5801,0.021848,0.000354,
4.74717,0.709929,0.038424,0.037231,50.5429,11.1219,5.0226,72.4334,77.5294,0.126171,84.8137,0.199107,0.000418,
4.5888,0.843207,0.039837,0.052983,50.4359,5.94439,4.20488,12.8727,76.6974,0.138247,20.9703,0.02489,0.000363,
2.77552,0.743668,0.102569,0.071015,51.6988,5.32033,4.56933,25.2861,17.5197,0.18529,37.4305,0.04239,0.003801,
4.79097,1.14847,0.056458,0.112473,51.913,8.68098,5.67054,58.7049,31.0815,0.139555,64.0073,0.044943,0.000541,
5.54428,0.649146,0.035488,0.043528,60.9991,10.4735,4.79308,76.1982,63.5479,0.140632,102.224,0.023943,0.000448,
6.32567,0.789594,0.056267,0.102227,57.5429,6.99605,5.62633,22.6019,81.9514,0.123617,30.5683,0.05363,0.003109,
5.20697,0.762816,0.035217,0.069298,56.6228,9.55809,4.83598,39.7868,27.5202,0.177155,39.8748,0.02824,0.000645,
4.82215,0.858839,0.044495,0.050062,49.4882,7.04832,4.54986,53.8785,44.3924,0.148021,68.7756,0.028595,0.000393,
4.28766,1.85892,0.044476,0.048344,58.4538,7.84066,4.44279,72.6622,58.3755,0.232205,99.2115,0.028075,0.000504,
3.64768,0.877399,0.114465,0.148386,57.0547,10.3722,4.24226,13.4703,77.0634,0.132613,35.0652,0.128459,0.000629,
4.46695,0.80038,0.035347,0.06839,60.5609,10.4291,5.0193,20.7926,18.5681,0.137423,31.1575,0.025309,0.000568,
2.6192,0.829022,0.04743,0.05351,60.5068,6.02686,9.50938,65.9125,30.3782,0.143281,83.8242,0.030456,0.00611,
4.98332,0.849445,0.038661,0.042042,55.8231,8.78507,4.36493,91.1762,70.3284,0.126858,82.4027,0.053849,0.000702,
2.62938,1.01339,0.070922,0.143753,55.8844,7.05653,5.07357,14.9059,96.4051,0.177554,21.776,0.062769,0.000461,
5.86783,0.783439,0.067672,0.156433,63.7882,9.52172,8.52711,20.9616,23.6446,0.227701,37.0682,0.056028,0.000644,
2.62491,0.894384,0.154161,0.493973,60.5598,9.35127,6.33297,67.2823,27.8074,0.127018,70.6615,0.183292,0.004356,
4.41155,1.02803,0.043543,0.042625,58.5937,8.53645,5.93504,95.1728,73.273,0.128034,89.6339,0.029117,0.000473,
2.64134,0.946996,0.088957,0.206147,65.7428,7.13962,6.14442,16.2982,101.536,0.241609,34.161,0.095398,0.000527,
2.75598,1.06966,0.04158,0.058514,61.1338,13.3125,5.20439,25.6255,21.5769,0.136441,50.3661,0.027191,0.00041,
5.13037,0.794983,0.032525,0.045259,63.9702,6.73435,8.0406,66.1701,33.7341,0.138103,64.0307,0.025601,0.000353,
2.44161,0.806507,0.046762,0.074134,62.1666,9.43656,5.9335,77.1006,72.1893,0.191638,82.291,0.034577,0.000527,
2.55687,0.767388,0.047735,0.081459,67.63,6.64549,6.95788,15.3395,84.147,0.14063,24.5651,0.049343,0.001789,
4.93677,0.788607,0.070173,0.357543,64.8687,7.90558,7.11512,24.4429,22.8423,0.247525,34.2711,0.127744,0.000702,
5.18655,0.838618,0.065871,0.0736,62.8953,7.42997,7.49033,82.9741,32.016,0.134963,77.398,0.073808,0.000819,
5.40352,0.748738,0.038561,0.065467,64.502,6.85534,4.57392,84.8511,87.6195,0.205303,100.5,0.030913,0.00059,
4.869,0.807014,0.047292,0.05063,67.4909,7.6777,4.55988,17.6606,89.4685,0.149884,31.3373,0.034945,0.000426,
4.47447,1.45531,0.145358,0.45808,67.2408,10.0898,7.53216,33.9438,25.6786,0.161612,31.8723,0.136353,0.000443,
5.5021,0.880896,0.088879,0.046095,63.9175,6.12969,5.42753,69.6535,39.4243,0.13292,78.7953,0.032514,0.000447,
5.35207,0.978874,0.049013,0.08533,59.606,9.31482,4.63394,64.8135,74.3798,0.139875,105.651,0.04723,0.000631,
2.55372,0.828002,0.04096,0.043492,63.8277,7.53117,4.15226,16.2899,69.0149,0.132692,25.6442,0.028282,0.000403,
4.55881,0.882913,0.058391,0.132354,73.0991,13.0178,9.11068,11.7653,25.5426,0.132102,40.353,0.048979,0.000747,
3.41573,0.965284,0.057863,0.116622,65.7651,6.56678,5.63852,55.1114,17.528,0.235125,76.2495,0.053888,0.000622,
2.40739,0.897835,0.039927,0.04137,67.6603,6.40108,4.52326,72.7262,59.6858,0.24489,87.7535,0.027573,0.000574,
5.28187,0.801622,0.034661,0.055857,69.0257,7.82417,5.67266,19.0635,78.4626,0.16296,29.6804,0.033174,0.005255,
5.42934,0.863467,0.075231,0.086983,64.9566,8.36675,8.19851,10.1711,27.3649,0.239905,38.9971,0.071288,0.00089,
2.60635,0.821217,0.052505,0.080801,62.5584,6.47191,4.74951,49.0786,15.0078,0.133446,94.4977,0.056596,0.000559,
5.13611,2.02315,0.046025,0.057439,67.921,6.43175,4.2722,44.8009,53.4153,0.1333,95.6962,0.029714,0.000429,
4.75976,2.21728,0.043843,0.067134,64.7038,9.73275,4.5159,34.3922,49.3905,0.16253,33.4494,0.031467,0.000384,
3.81968,0.874282,0.053563,0.048927,65.962,9.2158,4.57284,47.0189,39.0215,0.161045,46.2468,0.029447,0.000781,
4.42472,0.84821,0.045363,0.049761,66.0828,5.84125,5.02273,46.0953,52.0981,0.242568,81.1103,0.04292,0.000511,
5.18681,0.863291,0.045616,0.050647,67.2092,14.9753,10.5719,35.4235,56.7241,0.133522,72.6029,0.032189,0.000356,
2.49276,0.811532,0.043441,0.049525,66.2589,10.2428,9.70619,7.00042,45.1869,0.153435,31.4192,0.030685,0.000456,
2.91139,0.909101,0.041265,0.092148,68.4184,7.17781,4.02128,12.6918,11.1219,0.130847,22.3987,0.045048,0.000435,
2.67523,0.874318,0.054435,0.125079,62.5001,9.38598,10.177,34.1123,23.0241,0.138156,63.3881,0.042588,0.000684,
2.58297,0.791961,0.073328,0.183296,55.7528,10.2551,6.12248,34.991,40.4328,0.134717,85.4251,0.078394,0.000481,
4.81179,1.00589,0.043182,0.047282,66.9946,12.3381,4.23559,10.6516,39.2789,0.140356,34.3776,0.02924,0.000501,
4.423,0.764397,0.032026,0.037112,61.8785,11.3444,4.2745,33.5211,14.9697,0.152743,18.9232,0.023741,0.00036,
4.61321,0.828372,0.045778,0.055415,70.9301,6.403,5.47092,16.8359,39.0645,0.152099,59.7518,0.030186,0.000674,
4.84178,1.2626,0.050257,0.079477,62.234,6.42657,6.81111,26.2878,23.7441,0.136639,55.7769,0.032413,0.000419,
3.30605,0.849803,0.149792,0.466233,66.0542,8.69294,8.40263,11.0943,35.1777,0.138028,44.7894,0.198908,0.000517,
2.44331,0.765862,0.030989,0.038975,76.7743,12.3776,5.12237,57.3502,16.2621,0.170551,58.2169,0.028847,0.001015,
4.70843,0.803576,0.047974,0.063942,66,8.53466,4.69936,23.846,62.1679,0.136161,63.6226,0.034151,0.000356,
3.46837,0.823117,0.14131,0.606317,66.2034,9.28434,9.80811,31.6657,34.2803,0.133243,48.9991,0.146685,0.00048,
2.53766,1.04679,0.047053,0.048305,66.2305,9.18142,7.12299,6.37975,38.8449,0.138756,15.0281,0.031478,0.000536,
3.04392,1.0126,0.032041,0.054005,64.4777,6.36675,4.43304,24.6517,10.8725,0.149486,27.2885,0.025863,0.000443,
5.44257,0.917811,0.158607,0.470475,63.5207,7.53052,6.86142,17.772,32.0099,0.150314,44.2782,0.183686,0.000698,
2.86395,0.863004,0.051293,0.058286,70.6408,12.7704,9.15897,41.0361,26.9959,0.133365,45.7564,0.033766,0.000432,
2.81192,1.11339,0.047015,0.058329,65.7925,7.27315,4.91208,54.4606,46.0138,0.229273,20.7941,0.033331,0.000466,
3.1652,1.28766,0.046046,0.04782,57.3493,7.44637,6.25265,45.7946,60.7744,0.259419,45.2694,0.033089,0.001021,
10.9815,0.930721,0.049341,0.067478,66.8241,6.80567,5.00041,55.092,50.8711,0.409934,29.9387,0.033138,0.003529,
4.61473,1.20873,0.047079,0.054221,69.2469,6.81804,4.57676,48.5705,59.7293,0.152635,40.4464,0.045581,0.000399,
7.77207,0.851558,0.043346,0.049675,68.9963,8.81722,4.67715,16.6444,53.3092,0.314792,20.1567,0.042258,0.00222,
5.09677,0.904262,0.041296,0.065426,73.8649,9.48238,4.88249,35.8763,21.6003,0.223547,68.0951,0.034099,0.000639,
7.33276,0.864053,0.050936,0.067876,66.9808,7.29601,5.48288,29.2592,41.4373,0.219065,39.6295,0.035961,0.000495,
4.0597,0.778713,0.133533,0.08619,66.4386,8.17158,9.52737,33.8282,38.886,0.150761,43.0481,1.32114,0.000448,
2.45713,1.03519,0.154257,0.455588,66.09,7.93275,5.9485,31.3433,40.2537,0.136978,15.7029,0.178481,0.000513,
5.95992,0.88034,0.046542,0.051119,68.1271,10.3235,4.71031,22.757,36.1114,0.186819,38.9483,0.033246,0.000773,
5.69622,0.758437,0.047437,0.063036,65.8975,7.21597,8.26985,42.8995,31.1151,0.172408,31.2895,0.046333,0.00061,
5.72484,0.908634,0.043413,0.046751,69.469,7.35254,5.14382,42.4266,48.1035,0.146301,50.8597,0.030301,0.000468,
4.20615,0.8997,0.044924,0.052302,70.3113,8.34746,8.0448,7.22996,50.5497,0.131921,66.5992,0.033065,0.00044,
5.29388,1.06697,0.049712,0.071386,82.4578,14.1602,4.79823,10.9393,12.1075,0.139804,66.9505,0.03645,0.000554,
7.00341,0.972929,0.027743,0.031318,76.4303,8.51018,4.05709,54.2945,15.0344,0.135127,67.0222,0.024012,0.000388,
5.07561,0.839154,0.047784,0.047476,79.8141,8.80109,5.26335,95.4168,59.6131,0.134781,66.9873,0.034019,0.000634,
5.73947,0.902408,0.121344,0.31109,78.8882,8.99198,11.7604,35.0083,107.506,0.188133,28.0387,0.126848,0.000654,
6.56354,1.30817,0.046357,0.072531,74.0666,8.03632,5.69283,51.3206,40.7821,0.1542,50.4984,0.039627,0.000945,
5.10377,0.889437,0.048118,0.102929,71.5654,7.55391,4.71333,82.3486,56.1436,0.189971,45.8975,0.037015,0.000479,
5.85942,0.819046,0.031894,0.045735,72.18,8.17932,6.44795,81.1603,88.8508,0.15988,45.5024,0.024709,0.000414,
4.9812,0.964647,0.031723,0.03766,69.8447,7.33355,4.72016,12.0518,85.9241,0.133362,45.2136,0.027025,0.000358,
5.49544,0.878314,0.040254,0.051188,72.8336,15.2019,5.02435,26.9277,17.1342,0.209276,38.2777,0.029485,0.000804,
5.1347,0.957671,0.053683,0.086037,69.0183,7.93902,8.53612,78.7903,35.5572,0.138877,55.5007,0.038277,0.00039,
5.32307,0.845475,0.068117,0.154702,84.2093,7.05673,4.9786,92.2981,83.9335,0.141845,55.88,0.0672,0.000368,
2.6276,1.18827,0.031834,0.038945,66.5281,9.68486,6.52072,37.4427,98.8646,0.134441,19.2602,0.027024,0.000705,
6.10238,0.850858,0.054307,0.169749,70.4291,14.3056,9.11767,51.4036,46.7412,0.234718,22.857,0.050344,0.001708,
5.24564,1.74693,0.04746,0.060623,66.4237,7.05717,5.28648,92.6591,56.7572,0.137986,66.3907,0.047851,0.000413,
6.29783,1.43832,0.051297,0.114827,61.4304,9.67784,7.19122,92.8535,99.9753,0.13255,115.1,0.040688,0.000372,
6.9638,2.17877,0.040697,0.066467,72.0068,6.85956,6.18923,45.1669,99.1181,0.209765,49.2511,0.032256,0.000953,
11.6387,1.18181,0.048671,0.084222,90.6192,19.8559,5.70965,74.2848,50.9691,0.206438,63.2256,0.036744,0.000762,
3.09609,1.4524,0.05032,0.074681,73.3666,11.3703,5.41252,82.8649,79.78,0.262988,96.0939,0.038779,0.000786,
8.9819,1.09715,0.122763,0.319697,64.9701,9.28578,7.88996,74.3389,91.0885,0.173945,92.6516,0.145592,0.002535,
5.13636,1.00521,0.035876,0.05889,68.3133,9.53799,4.36421,45.6572,78.7711,0.260998,24.5723,0.03629,0.002384,
6.26019,1.12983,0.044848,0.049508,73.7509,9.71723,5.2907,50.3853,51.0041,0.243259,42.2772,0.032478,0.000654,
5.78403,0.918002,0.046784,0.055658,59.9888,8.96327,6.63752,74.9691,57.0851,0.14302,90.6367,0.052875,0.000833,
4.39463,2.46676,0.045645,0.086126,73.1042,11.188,10.9219,86.7295,85.9947,0.17821,103.129,0.040116,0.002538,
7.30376,2.26611,0.060944,0.162301,67.5763,9.14702,5.75243,29.4642,92.6522,0.163536,54.9675,0.058971,0.000653,
7.87622,1.05709,0.049981,0.119943,81.9398,6.43989,8.59428,69.2311,38.2026,0.277597,63.8899,0.043519,0.000998,
7.48743,1.25402,0.041189,0.070209,67.0961,7.85267,5.83015,82.2473,75.1513,0.157898,107.402,0.039725,0.000451,
6.02666,1.20092,0.05465,0.153592,68.67,7.99375,6.25434,86.864,88.6635,0.143045,108.367,0.050732,0.000636,
7.24788,1.26003,0.045804,0.09455,77.0302,12.4685,7.33485,64.5967,94.3011,0.275657,65.1431,0.041625,0.000714,
6.0153,1.00233,0.07046,0.263847,91.5153,11.8428,6.81464,73.631,71.6906,0.190619,85.0034,0.079699,0.001293,
5.73102,1.11037,0.083842,0.136208,90.9415,20.979,6.14116,92.4574,79.915,0.154253,106.396,0.043788,0.000557,
5.63075,12.7435,0.057795,0.147793,90.7257,7.22311,5.78468,136.198,98.396,0.196204,85.8314,0.058925,0.000845,
20.0153,6.25819,0.060731,0.16339,95.9837,12.9216,12.9127,17.885,149.286,0.257261,59.4911,0.051727,0.0008,
14.1853,6.08969,0.038294,0.08619,76.388,8.57688,5.6266,70.1982,23.6048,0.414107,64.7906,0.039655,0.003369,
14.0577,1.43333,0.046373,0.143358,74.8277,8.35086,5.71425,76.475,76.0685,0.142025,92.3647,0.089512,0.000653,
10.8949,4.44509,0.050902,0.094956,77.8684,9.84896,5.80462,94.8082,82.3826,0.179667,102.392,0.038923,0.0011,
9.50983,8.80993,0.0515,0.165015,73.1945,20.0684,6.41418,45.9738,101.399,0.17654,47.9724,0.065005,0.000745,
11.5522,1.53993,0.057408,0.188815,94.4712,15.9868,10.8146,66.9756,56.9868,0.294609,84.9051,0.053016,0.000697,
8.03569,2.35458,0.052393,0.114655,91.0712,8.86609,5.55029,86.9381,72.6481,0.151008,97.1077,0.039243,0.001546,
6.9351,5.1964,0.03076,0.078042,81.6993,7.1858,6.73664,72.6801,93.7594,0.185342,103.574,0.027483,0.000776,
10.6311,1.0739,0.057649,0.157189,74.6192,13.4346,5.2056,55.7532,78.0496,0.250616,80.1,0.048021,0.000648,
3.22672,0.990672,0.073678,0.266151,90.0728,11.5859,6.39279,63.2989,62.4191,0.260877,88.1433,0.086973,0.000614,
5.9322,1.04711,0.073255,0.233845,80.2843,11.727,4.66926,79.1718,68.209,0.274023,106.428,0.121234,0.000685,
5.61557,0.968114,0.060542,0.160098,84.1709,10.0287,5.79456,48.8554,85.1333,0.131815,171.195,0.047947,0.000919,
7.44049,1.95427,0.048352,0.124234,90.463,11.6242,6.0272,75.2788,55.0149,0.238757,52.9109,0.040222,0.000539,
7.39112,1.34073,0.052874,0.171119,91.903,16.4898,5.52288,89.8331,80.9839,0.301676,91.746,0.08056,0.004861,
10.2265,0.865536,0.041283,0.147385,93.2193,12.9712,5.83545,65.6543,95.8339,0.174359,96.0194,0.040432,0.001313,
